epoch,loss,val_loss
0,455.7016107,228.2603912
1,206.062689,189.5561043
2,178.8423897,173.6524297
3,167.857762,165.7489085
4,160.7757928,159.4170227
5,155.6718525,155.1152424
6,151.7415931,151.4673395
7,148.6040259,154.1657389
8,145.9586406,146.1443414
9,142.8140502,142.8851339
10,140.3717438,144.1028874
11,139.7445916,140.5211175
12,135.4266788,136.8292244
13,134.0252357,134.7915259
14,132.3513186,135.057634
15,130.7289231,134.7737585
16,129.1968358,131.3600143
17,128.3856006,130.7422414
18,126.5327763,130.2130351
19,125.6409454,131.352717
20,123.5676077,128.6845899
21,122.9857327,128.0740151
22,122.701561,128.0428827
23,122.5131285,127.8616342
24,122.2764587,128.249779
25,122.0848592,127.6316061
26,121.8646631,127.9627519
27,121.6526619,127.4765195
28,121.5480138,127.4227771
29,121.3355445,127.202546
30,121.1548197,127.2926332
31,120.9933965,126.9974294
32,120.9172007,126.9877019
33,120.7263686,126.8983847
34,120.6335688,126.9205051
