epoch,loss,val_loss
0,191.5379464,139.0604152
1,139.3446485,138.4565058
2,138.4759915,137.2621666
3,136.7726155,134.1694614
4,117.7371466,91.27192643
5,77.70602376,65.56226889
6,60.38473211,55.43646365
7,52.52224397,49.59429172
8,52.59608415,46.85377261
9,45.03903829,43.33476688
10,41.80830236,41.21919288
11,39.09228973,38.31501117
12,36.9365313,35.95983037
13,35.31362396,39.08491935
14,33.68702769,33.55646149
15,32.36196956,32.25947233
16,31.23768978,31.71605935
17,31.41414575,30.43527911
18,29.23561591,29.70827344
19,28.50949589,28.45311737
20,87.50083338,135.2907963
